datetime,symbol,direction,offset,volume,price,signal_position,signal_position_price,signal_position_value
2022-12-21 00:50:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,135.1,3.05,135.1,3.05,412.0
2022-12-21 04:25:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,276.8,2.977,411.9,3.001,1236.0
2022-12-27 18:45:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,284.3,3.229,127.6,3.229,412.0
2022-12-27 20:20:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,261.0,3.157,388.6,3.181,1236.0
2022-12-28 05:20:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,543.7,3.031,932.3,3.093,2884.0
2023-01-02 04:15:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,800.7,3.13,131.6,3.13,412.0
2023-01-02 09:30:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,268.7,3.067,400.3,3.088,1236.0
2023-01-02 16:35:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,269.5,3.151,130.8,3.151,412.0
2023-01-02 20:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.6,3.189,129.2,3.189,412.0
2023-01-03 23:55:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,263.8,3.124,393.0,3.145,1236.0
2023-01-04 11:40:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,264.2,3.199,128.8,3.199,412.0
2023-01-04 13:00:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,5.2,3.332,123.6,3.332,412.0
2023-01-04 18:05:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,252.7,3.262,376.3,3.285,1236.0
2023-01-05 03:00:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,254.0,3.37,122.3,3.37,412.0
2023-01-05 15:35:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,249.8,3.298,372.1,3.322,1236.0
2023-01-07 10:30:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,249.3,3.356,122.8,3.356,412.0
2023-01-08 06:10:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,250.6,3.288,373.4,3.31,1236.0
2023-01-08 10:15:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,250.4,3.349,123.0,3.349,412.0
2023-01-08 14:00:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2.0,3.406,121.0,3.406,412.0
2023-01-09 08:30:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.3,3.441,119.7,3.441,412.0
2023-01-09 09:35:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.7,3.492,118.0,3.492,412.0
2023-01-09 10:15:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2.0,3.552,116.0,3.552,412.0
2023-01-09 18:00:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.6,3.601,114.4,3.601,412.0
2023-01-09 19:00:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,3.2,3.706,111.2,3.706,412.0
2023-01-09 19:30:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,2.3,3.784,108.9,3.784,412.0
2023-01-09 21:45:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.2,3.826,107.7,3.826,412.0
2023-01-09 23:25:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.2,3.868,106.5,3.868,412.0
2023-01-10 05:00:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,217.9,3.782,324.4,3.81,1236.0
2023-01-10 06:15:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,217.5,3.853,106.9,3.853,412.0
2023-01-10 11:10:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,222.0,3.713,328.9,3.759,1236.0
2023-01-12 00:20:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,461.6,3.57,790.5,3.648,2884.0
2023-01-12 08:15:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,679.7,3.718,110.8,3.718,412.0
2023-01-12 09:15:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.2,3.759,109.6,3.759,412.0
2023-01-12 12:00:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.1,3.797,108.5,3.797,412.0
2023-01-12 21:35:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,221.7,3.717,330.2,3.743,1236.0
2023-01-13 01:25:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,221.3,3.782,108.9,3.782,412.0
2023-01-13 03:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.8,3.848,107.1,3.848,412.0
2023-01-13 21:35:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,218.5,3.77,325.6,3.796,1236.0
2023-01-14 06:30:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,222.8,4.008,102.8,4.008,412.0
2023-01-14 09:25:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,7.1,4.304,95.7,4.304,412.0
2023-01-14 09:45:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.9,4.348,94.8,4.348,412.0
2023-01-14 10:15:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.4,4.409,93.4,4.409,412.0
2023-01-14 16:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,1.1,4.464,92.3,4.464,412.0
2023-01-14 17:55:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,197.5,4.171,289.8,4.264,1236.0
2023-01-15 05:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,194.3,4.314,95.5,4.314,412.0
2023-01-15 07:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,9.1,4.768,86.4,4.768,412.0
2023-01-15 09:10:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,176.8,4.66,263.2,4.695,1236.0
2023-01-15 17:10:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,365.8,4.506,629.0,4.585,2884.0
2023-01-15 20:15:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,540.7,4.666,88.3,4.666,412.0
2023-01-15 23:50:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,4.6,4.923,83.7,4.923,412.0
2023-01-16 01:15:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,172.1,4.788,255.8,4.832,1236.0
2023-01-16 16:45:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,357.5,4.609,613.3,4.702,2884.0
2023-01-17 19:35:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,527.3,4.793,86.0,4.793,412.0
2023-01-18 01:30:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,176.2,4.676,262.2,4.714,1236.0
2023-01-19 00:50:00,FILUSDT.BYBIT,Direction.LONG,Offset.OPEN,374.6,4.399,636.8,4.529,2884.0
2023-01-21 05:10:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,549.0,4.692,87.8,4.692,412.0
2023-01-21 07:40:00,FILUSDT.BYBIT,Direction.SHORT,Offset.CLOSE,0.9,4.743,86.9,4.743,412.0
